"","employees","salaries.2016","salaries.2017","change","got.raise"
"1","Employee 1",45146.4821887203,44213.7541237753,-932.728064944968,FALSE
"2","Employee 2",48746.6171919368,54255.0547083374,5508.43751640059,TRUE
"3","Employee 3",40604.6331650577,41457.7346353326,853.101470274851,TRUE
"4","Employee 4",47262.5155560672,51980.0419488456,4717.52639277838,TRUE
"5","Employee 5",46395.1401598752,43350.8362760767,-3044.30388379842,FALSE
"6","Employee 6",42494.0728675574,46095.1001662761,3601.02729871869,TRUE
"7","Employee 7",45900.0740433112,51635.9848901629,5735.91084685177,TRUE
"8","Employee 8",48199.3552157655,51029.4773837086,2830.12216794305,TRUE
"9","Employee 9",47627.7096918784,50312.4478226528,2684.73813077435,TRUE
"10","Employee 10",40428.1502193771,42026.1197444052,1597.96952502802,TRUE
"11","Employee 11",46704.1804338805,49480.5273774546,2776.34694357403,TRUE
"12","Employee 12",48858.4591960534,47731.646951288,-1126.81224476546,FALSE
"13","Employee 13",42313.1409985945,44400.0543863513,2086.91338775679,TRUE
"14","Employee 14",47277.0391521044,55883.243692806,8606.20454070158,TRUE
"15","Employee 15",48243.7549601309,43547.331483569,-4696.4234765619,FALSE
"16","Employee 16",45892.2595530748,46429.1643432807,536.904790205881,TRUE
"17","Employee 17",45370.1987513341,41507.0124948397,-3863.18625649437,FALSE
"18","Employee 18",49350.2281163819,55443.3409054764,6093.11278909445,TRUE
"19","Employee 19",45436.7422242649,52387.3469850514,6950.60476078652,TRUE
"20","Employee 20",49446.7517873272,52560.0241229404,3113.27233561315,TRUE
"21","Employee 21",48740.5525078066,44493.6444913037,-4246.90801650286,FALSE
"22","Employee 22",41595.081477426,48584.6850508824,6989.60357345641,TRUE
"23","Employee 23",43693.6518293805,50597.681235522,6904.02940614149,TRUE
"24","Employee 24",41184.5988989808,43008.5894011427,1823.99050216191,TRUE
"25","Employee 25",43446.1342799477,44991.4386065211,1545.30432657339,TRUE
"26","Employee 26",49142.6641354337,45235.6968971435,-3906.96723829024,FALSE
"27","Employee 27",47510.2217798121,53337.784986943,5827.56320713088,TRUE
"28","Employee 28",44622.3658672534,47880.4596012924,3258.09373403899,TRUE
"29","Employee 29",41158.7459687144,37327.9723536689,-3830.77361504547,FALSE
"30","Employee 30",46644.6363320574,55633.7744928896,8989.13816083223,TRUE
"31","Employee 31",48050.6911943667,44339.994356269,-3710.69683809765,FALSE
"32","Employee 32",42843.9209866337,47638.4139608126,4794.49297417887,TRUE
"33","Employee 33",48150.6112427451,57198.3912552241,9047.78001247905,TRUE
"34","Employee 34",44839.7485888563,47588.0566833075,2748.3080944512,TRUE
"35","Employee 35",49687.5460888259,55229.6285121702,5542.08242334425,TRUE
"36","Employee 36",49019.5801481605,53691.8843607418,4672.30421258137,TRUE
"37","Employee 37",41327.2507302463,50290.8119047061,8963.56117445976,TRUE
"38","Employee 38",43766.3153698668,41554.7693835106,-2211.54598635621,FALSE
"39","Employee 39",47436.352209188,56166.0294234753,8729.67721428722,TRUE
"40","Employee 40",42499.4894955307,52227.1821368486,9727.69264131784,TRUE
"41","Employee 41",48891.5127748623,53542.4077906646,4650.89501580223,TRUE
"42","Employee 42",40364.9501595646,45919.3671890534,5554.41702948883,TRUE
"43","Employee 43",47755.3558629006,53290.9092865884,5535.55342368782,TRUE
"44","Employee 44",45919.7502210736,49784.86164473,3865.11142365634,TRUE
"45","Employee 45",43304.760789033,42485.7228400651,-819.037948967889,FALSE
"46","Employee 46",43118.4342037886,43698.6743134912,580.240109702572,TRUE
"47","Employee 47",44695.8500286564,47809.2840162572,3113.43398760073,TRUE
"48","Employee 48",48100.2072314732,44738.7532610446,-3361.45397042856,FALSE
"49","Employee 49",41273.0903923512,40583.1015517469,-689.988840604201,FALSE
"50","Employee 50",40974.8131246306,46246.7185722198,5271.90544758923,TRUE
"51","Employee 51",47493.2884518057,49988.3008003235,2495.01234851778,TRUE
"52","Employee 52",43983.5701626725,42510.0242986809,-1473.5458639916,FALSE
"53","Employee 53",41639.3566620536,43725.155564025,2085.79890197143,TRUE
"54","Employee 54",49678.9255063049,58553.269430995,8874.34392469004,TRUE
"55","Employee 55",40553.5123217851,39107.9719539266,-1445.54036785848,FALSE
"56","Employee 56",41424.4503621012,45648.2152675744,4223.76490547322,TRUE
"57","Employee 57",40535.7596068643,48763.514237944,8227.75463107973,TRUE
"58","Employee 58",49777.2323829122,46971.8228746206,-2805.40950829163,FALSE
"59","Employee 59",47125.7383865304,50726.7849880736,3601.0466015432,TRUE
"60","Employee 60",47754.9356594682,50178.9646805264,2424.02902105823,TRUE
"61","Employee 61",45950.5775431171,46448.9572623279,498.379719210789,TRUE
"62","Employee 62",41763.4359002113,43549.7054283042,1786.26952809282,TRUE
"63","Employee 63",45968.4454696253,48872.7359869517,2904.29051732644,TRUE
"64","Employee 64",40392.2898299061,45829.0130610112,5436.72323110513,TRUE
"65","Employee 65",43932.6548925601,49966.7337210849,6034.0788285248,TRUE
"66","Employee 66",43551.1933080852,45704.349760199,2153.15645211376,TRUE
"67","Employee 67",47776.4222491533,57642.683602171,9866.26135301776,TRUE
"68","Employee 68",47168.237043079,46410.2811482735,-757.955894805491,FALSE
"69","Employee 69",49616.7645929381,53071.0945569444,3454.32996400632,TRUE
"70","Employee 70",40080.8433908969,49625.897554215,9545.05416331813,TRUE
"71","Employee 71",44645.0866130181,52501.1979183182,7856.11130530015,TRUE
"72","Employee 72",47866.668687202,50496.1925919633,2629.5239047613,TRUE
"73","Employee 73",40121.8840596266,36695.5967422109,-3426.2873174157,FALSE
"74","Employee 74",40368.5474023223,47105.0626435317,6736.51524120942,TRUE
"75","Employee 75",43194.4189034402,49919.7300232481,6725.31111980788,TRUE
"76","Employee 76",44371.2323508225,44516.0033588763,144.771008053795,TRUE
"77","Employee 77",44984.740044456,49345.7430659328,4361.00302147679,TRUE
"78","Employee 78",48561.4314302802,48768.0919107515,206.660480471328,TRUE
"79","Employee 79",45380.5112582631,48634.4030569308,3253.89179866761,TRUE
"80","Employee 80",43472.2502925433,46686.8973185774,3214.64702603407,TRUE
"81","Employee 81",44883.6029763333,40455.4480069783,-4428.15496935509,FALSE
"82","Employee 82",47158.5989836603,51355.3289265838,4196.72994292341,TRUE
"83","Employee 83",40000.5877809599,35503.929060651,-4496.65872030891,FALSE
"84","Employee 84",49684.6783789806,59114.8219443858,9430.14356540516,TRUE
"85","Employee 85",42988.6832274497,45752.4390786421,2763.7558511924,TRUE
"86","Employee 86",43051.6663263552,38216.6212692391,-4835.04505711608,FALSE
"87","Employee 87",44336.3281292841,51665.5601328239,7329.2320035398,TRUE
"88","Employee 88",43725.6926554255,44972.1332464833,1246.44059105776,TRUE
"89","Employee 89",43362.3624569736,44341.6996952146,979.337238240987,TRUE
"90","Employee 90",44109.7897058353,53334.150594892,9224.3608890567,TRUE
"91","Employee 91",42822.9673393071,49259.9338549189,6436.96651561186,TRUE
"92","Employee 92",44124.0125172772,42221.7054804787,-1902.30703679845,FALSE
"93","Employee 93",49015.153653454,47514.0484340955,-1501.10521935858,FALSE
"94","Employee 94",40316.3455589674,42682.7468932606,2366.40133429319,TRUE
"95","Employee 95",49265.9023194574,56832.0238136221,7566.12149416469,TRUE
"96","Employee 96",44738.7831332162,43127.703233622,-1611.07989959419,FALSE
"97","Employee 97",44973.8999595866,49549.8974109069,4575.99745132029,TRUE
"98","Employee 98",45740.7898479141,55535.2909199428,9794.50107202865,TRUE
"99","Employee 99",48544.6478636004,54593.4453140944,6048.79745049402,TRUE
"100","Employee 100",47185.4523126967,49070.8623942919,1885.41008159518,TRUE
